test_ranking ,player_id,batsman,rating,team,matches,innings,runs,high_score,average,strike_rate,century,double_century,half_century,fours,sixes
65,7859,Ben Foakes,481,ENGLAND,17,31,810,113,33.75,47.96,2,0,3,76,5
66,1121,Mahmudullah,479,BANGLADESH,50,94,2914,150,33.11,53.41,5,0,16,338,24
67,8219,Mominul Haque,476,BANGLADESH,55,102,3618,181,37.69,53.29,11,0,16,422,8
68,8440,Kyle Mayers,470,WEST INDIES,14,25,828,210,36,62.4,2,1,2,104,13
69,881,Sarfaraz Ahmed,466,PAKISTAN,51,90,2992,118,38.86,70.28,4,0,21,303,9
70,13682,Pathum Nissanka,461,SRI LANKA,9,15,537,103,38.36,43.8,1,0,5,50,1
71,2258,Jos Buttler,453,ENGLAND,57,100,2907,152,31.95,54.18,2,0,18,339,33
72,8313,Jason Holder,450,WEST INDIES,58,104,2612,202,29.68,55.57,3,1,11,311,44
73,8116,Kusal Perera,439,SRI LANKA,22,41,1177,153,30.97,72.25,2,0,7,151,12
74,1649,Matthew Wade,435,AUSTRALIA,36,63,1613,117,29.87,50.36,4,0,5,175,12
75,8348,Shane Dowrich,435,WEST INDIES,35,62,1570,125,29.07,46.99,3,0,9,178,11
76,8345,Alex Lees,433,ENGLAND,10,19,453,67,23.84,43.06,0,0,2,59,1
77,8121,Joe Burns,432,AUSTRALIA,23,40,1442,180,36.97,56.39,4,0,7,183,14
78,8431,John Campbell,430,WEST INDIES,20,40,888,68,26.12,52.17,0,0,3,105,7
79,16414,Joshua Da Silva,428,WEST INDIES,18,31,720,100,27.69,35.95,1,0,3,75,1
80,781,Regis Chakabva,427,ZIMBABWE,22,43,1061,101,27.21,40.57,1,0,5,102,8
81,10945,Washington Sundar,425,INDIA,4,6,265,96,66.25,52.79,0,0,3,31,5
82,9545,Shan Masood,424,PAKISTAN,28,53,1500,156,28.3,46.34,4,0,6,149,13
83,1593,Ravichandran Ashwin,423,INDIA,88,126,3043,124,27.41,54.64,5,0,13,347,19
84,9864,Najmul Hossain Shanto,422,BANGLADESH,21,40,1009,163,25.87,46.37,2,0,3,112,13
85,6243,Lahiru Thirimanne,419,SRI LANKA,44,85,2088,155,26.43,39.44,3,0,10,207,3
86,11271,Sarel Erwee,416,SOUTH AFRICA,10,18,437,108,24.28,44.5,1,0,1,50,0
87,11265,Faheem Ashraf,397,PAKISTAN,16,25,673,91,28.04,54.76,0,0,4,99,3
88,8277,Hashmatullah Shahidi,397,AFGHANISTAN,5,10,353,200,58.83,43.96,1,1,1,43,1
89,10940,Kamindu Mendis,396,SRI LANKA,1,1,61,61,61,44.53,0,0,1,7,0
90,9313,Dominic Sibley,395,ENGLAND,22,39,1042,133,28.94,34.22,2,0,5,114,1
91,8512,Jamie Overton,390,ENGLAND,1,1,97,97,97,71.32,0,0,1,13,2
92,8534,Nurul Hasan,388,BANGLADESH,9,17,394,64,24.62,63.55,0,0,3,50,5
93,6670,Chris Woakes,386,ENGLAND,45,74,1675,137,27.92,52.23,1,0,6,217,5
94,11543,Roston Chase,386,WEST INDIES,45,83,2124,137,26.89,46.25,5,0,10,232,15
95,6660,Dawid Malan,383,ENGLAND,22,39,1074,140,27.54,40.96,1,0,9,146,1
96,7776,Marcus Harris,383,AUSTRALIA,14,26,607,79,25.29,45.92,0,0,3,73,0
97,8549,Will Young,382,NEW ZEALAND,12,20,572,89,28.6,43.4,0,0,6,78,0
98,8359,Babar Azam,890,PAKISTAN,47,85,3696,196,48.63,55.03,9,0,26,430,22
99,8364,Imam-ul-Haq,779,PAKISTAN,20,39,1417,157,39.36,47.19,3,0,7,160,11
100,9554,Rassie van der Dussen,766,SOUTH AFRICA,18,32,905,98,30.17,40.75,0,0,6,101,4
